name,category,hq_city,hq_state,state_of_incorporation,country,founded_year,status,website,website_live,description,sources
2nd Nature,UNKNOWN,,,,US,,UNKNOWN,https://www.2ndnature.bio/,,,world_agritech
3LC,UNKNOWN,,,,US,,UNKNOWN,https://3lc.ai/,,,world_agritech
ABZ Innovation,PRECISION_AG,,,,Hungary,,UNKNOWN,https://abzinnovation.com,,"Drones, Agriculture, B2B Software, Electronics, Hardware, Manufacturing",growthlist
AGRO-AI,UNKNOWN,,,,US,,UNKNOWN,https://agroai-pilot.com/,,,world_agritech
AIRCURE TECH,UNKNOWN,,,,US,,UNKNOWN,https://www.aircuretech.com/,,,world_agritech
"AV AgTech Fund 1, LLC  (CIK 0002059144)",UNKNOWN,,,,US,,UNKNOWN,,,"SEC Form D filing: ""agtech""",sec_edgar
Ac-Planta,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
AgPlenus,UNKNOWN,,,,US,,UNKNOWN,https://agplenus.com/,,,world_agritech
AgZen,UNKNOWN,,,,US,,UNKNOWN,https://www.agzen.com/,,,world_agritech
Agmatix,UNKNOWN,,,,US,,UNKNOWN,https://www.agmatix.com/,,,world_agritech
Agmonitor,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Agovor,ROBOTICS,,,,New Zealand,,UNKNOWN,https://agovor.com,,"Agriculture, Automotive, B2B Software, EV, Hardware, Robotics",growthlist
AgreenCulture,ROBOTICS,,,,France,,UNKNOWN,https://agreenculture.net,,"Agriculture, Artificial Intelligence, Hardware, Robotics",growthlist
Agrela Ecosystems,UNKNOWN,,,,United States,,UNKNOWN,https://agrelaeco.com,,"Agriculture, Analytics, B2B Software, Data, Hardware",growthlist
Agrematch,UNKNOWN,,,,US,,UNKNOWN,https://www.agrematch.com/,,,world_agritech
Agri-Access,UNKNOWN,,,,US,,UNKNOWN,https://www.agri-access.com/,,,world_agritech
AgriPass,ROBOTICS,,,,US,,UNKNOWN,https://agripass.co/,,"Agriculture, Hardware, Robotics",growthlist|world_agritech
Agriloom,UNKNOWN,,,,Kenya,,UNKNOWN,https://agriloom.co.ke,,"Agriculture, Finance, B2B Software, FinTech, Marketplace",growthlist
Agroasys,UNKNOWN,,,,Tanzania,,UNKNOWN,https://agroasys.com,,"Marketplace, Agriculture, B2B Software, E-commerce",growthlist
Agrology,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Agronomeye,UNKNOWN,,,,US,,UNKNOWN,https://agronomeye.com.au/,,,world_agritech
Agteria Biotech,UNKNOWN,,,,US,,UNKNOWN,https://www.agteria.com/,,,world_agritech
Alora,UNKNOWN,,,,United States,,UNKNOWN,https://alora.world,,"Agriculture, Food and Beverage, Marine",growthlist
Amatera,UNKNOWN,,,,France,,UNKNOWN,https://amatera.bio,,"Biotechnology, Agriculture, Food and Beverage",growthlist
Amazon Leo,UNKNOWN,,,,US,,UNKNOWN,https://leo.amazon.com/,,,world_agritech
American Drone Network,PRECISION_AG,,,,United States,,UNKNOWN,https://americandronenetwork.com,,"Drones, Agriculture, Hardware",growthlist
American Prime,PRECISION_AG,,,,United States,,UNKNOWN,https://americanprime.co/,,"Agriculture, Artificial Intelligence, Analytics, B2B Software, Data, Drones, Energy, Environment",growthlist|world_agritech
Ancient Organics Bioscience,UNKNOWN,,,,US,,UNKNOWN,https://www.ancientorganicsbio.com/,,,world_agritech
AquaExchange,UNKNOWN,,,,India,,UNKNOWN,https://aquaexchange.com,,"Agriculture, Artificial Intelligence, Analytics, B2B Software, Data, Hardware",growthlist
ArtIn Energy,UNKNOWN,,,,United States,,UNKNOWN,https://artinenergy.com,,"Energy, Agriculture, Environment, Hardware, Professional Services",growthlist
Arya Collateral,UNKNOWN,,,,India,,UNKNOWN,https://arya.ag,,"Agriculture, Finance, Logistics, Marketplace",growthlist
Aspia Space,UNKNOWN,,,,US,,UNKNOWN,https://aspiaspace.com/,,,world_agritech
AtmoCooling,UNKNOWN,,,,US,,UNKNOWN,https://www.atmocooling.com/,,,world_agritech
Atomgrid,UNKNOWN,,,,India,,UNKNOWN,https://atomgrid.in,,"Chemicals, Agriculture, Beauty, Food and Beverage, Manufacturing, Pharmaceuticals",growthlist
Aviwell,UNKNOWN,,,,France,,UNKNOWN,https://aviwell.fr,,"Agriculture, Biotechnology",growthlist
BASF,UNKNOWN,,,,US,,UNKNOWN,https://agriculture.basf.us/crop-protection.html,,,world_agritech
BEAM CropTech,UNKNOWN,,,,US,,UNKNOWN,https://beamcroptech.com/en/home-en/,,,world_agritech
"Barn Owl Precision Agriculture, Inc.  (CIK 0001977710)",PRECISION_AG,,,,US,,UNKNOWN,,,"SEC Form D filing: ""precision agriculture""",sec_edgar
Barnstorm Agtech Inc.  (CIK 0001835733),UNKNOWN,,,,US,,UNKNOWN,,,"SEC Form D filing: ""agtech""",sec_edgar
Barnwell Bio,UNKNOWN,,,,United States,,UNKNOWN,https://barnwellbio.com,,"Agriculture, Analytics, B2B Software, Biotechnology",growthlist
Bayer,UNKNOWN,,,,US,,UNKNOWN,https://www.bayer.com,,,world_agritech
Beagle Technology,UNKNOWN,,,,US,,UNKNOWN,https://www.beagle-tech.com/,,,world_agritech
BeeSTAR Technology,UNKNOWN,,,,US,,UNKNOWN,https://beestar.com.au/,,,world_agritech
BigGuardian,UNKNOWN,,,,Spain,,UNKNOWN,https://bigguardian.com,,"Agriculture, B2B Software, Biotechnology",growthlist
BigHaat,UNKNOWN,,,,India,,UNKNOWN,https://bighaat.com,,"Agriculture, E-commerce, Marketplace",growthlist
Bindbridge,UNKNOWN,,,,United Kingdom,,UNKNOWN,https://bindbridge.com,,"Agriculture, Artificial Intelligence, Biotechnology, Chemicals",growthlist
BioArmix,UNKNOWN,,,,US,,UNKNOWN,https://www.bioarmix.com/,,,world_agritech
BioCloak,UNKNOWN,,,,US,,UNKNOWN,https://biocloak.com/,,,world_agritech
Biobin,UNKNOWN,,,,US,,UNKNOWN,https://worldagritechusa.com/sponsors/biobin-data-science,,,world_agritech
Biographica,UNKNOWN,,,,United Kingdom,,UNKNOWN,https://graphica.bio,,"Biotechnology, Agriculture, Artificial Intelligence, B2B Software, Data",growthlist
Bloemteknik,UNKNOWN,,,,United Kingdom,,UNKNOWN,https://bloemteknik.com,,"Agriculture, Electronics, Hardware, Manufacturing",growthlist
Bloom Spatial,UNKNOWN,,,,United States,,UNKNOWN,https://bloomspatial.com,,"Agriculture, Analytics, B2B Software, Data, Environment",growthlist
BlueNalu,UNKNOWN,,,,United States,,UNKNOWN,https://bluenalu.com,,"Agriculture, Biotechnology, Food and Beverage",growthlist
BlueTrace,UNKNOWN,,,,United States,,UNKNOWN,https://blue-trace.com,,"B2B Software, Agriculture, Food and Beverage, Logistics",growthlist
CMW ROBOTICS,ROBOTICS,,,,China,,UNKNOWN,https://en.cmwrobotics.com,,"Robotics, Agriculture, Construction, Hardware, Logistics, Manufacturing, Mechanical Engineering",growthlist
CULTA,UNKNOWN,,,,Japan,,UNKNOWN,https://culta.jp,,"Agriculture, Biotechnology",growthlist
California AgTech Alliance,UNKNOWN,,,,US,,UNKNOWN,https://www.calagtechalliance.org/,,,world_agritech
Cooley,UNKNOWN,,,,US,,UNKNOWN,https://www.cooley.com/,,,world_agritech
Corigin,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Corteva Agriscience,UNKNOWN,,,,US,,UNKNOWN,https://www.corteva.com/,,,world_agritech
Corvian,UNKNOWN,,,,US,,UNKNOWN,https://corvian.com/,,,world_agritech
Cropi,UNKNOWN,,,,Spain,,UNKNOWN,https://cropi.es,,"Agriculture, Analytics, B2B Software",growthlist
Croptimus,UNKNOWN,,,,Egypt,,UNKNOWN,https://croptimus.info,,"Agriculture, Analytics, Environment",growthlist
CryoBio,UNKNOWN,,,,United States,,UNKNOWN,https://cryo.bio,,"Biotechnology, Agriculture",growthlist
"Cultivation Capital AgTech Fund IV, L.P.  (CIK 0002027848)",UNKNOWN,,,,US,,UNKNOWN,,,"SEC Form D filing: ""agtech""",sec_edgar
Cytotrait,UNKNOWN,,,,United Kingdom,,UNKNOWN,https://cytotrait.com,,"Biotechnology, Agriculture",growthlist
DTN,UNKNOWN,,,,US,,UNKNOWN,https://www.dtn.com/,,,world_agritech
Dalan Animal Health,LIVESTOCK,,,,United States,,UNKNOWN,https://dalan.com,,"Agriculture, Biotechnology, Pharmaceuticals",growthlist
Dishwill,UNKNOWN,,,,Japan,,UNKNOWN,https://dishwill.info,,"Food and Beverage, Agriculture, Manufacturing",growthlist
ELIXIDE LLC,FOOD_SAFETY,,CA,,US,,UNKNOWN,,,"IN 2023, DOMESTIC BEEKEEPERS LOST AN ESTIMATED 48% OF THEIR COLONIES, HIGHER THAN THE AVERAGE LOSS RATE OF 39.6%, SINCE 2010. COLONY LOSSES THREATEN FOOD SAFETY AND PRESENT A $250 MILLION ANNUAL ECONO",usaspending
Earth Daily,UNKNOWN,,,,US,,UNKNOWN,https://earthdaily.com/,,,world_agritech
EcoLab Innovations,UNKNOWN,,,,US,,UNKNOWN,https://worldagritechusa.com/sponsors/ecolab-innovations,,,world_agritech
Ecorobotix,ROBOTICS,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Elevate Farms,UNKNOWN,,,,Canada,,UNKNOWN,https://elevate.farm,,"Agriculture, Environment, Food and Beverage",growthlist
Esri,UNKNOWN,,,,US,,UNKNOWN,https://www.esri.com/en-us/home,,,world_agritech
FEED OUR SOUL LLC,INDOOR_CEA,,CA,,US,,UNKNOWN,,,"BLACK-OWNED, WOMEN-OWNED BRAND DELIVERING FRESH PRODUCE TO THE BLACK COMMUNITY IN SOUTH LA.  CONTROLLED ENVIRONMENT AGRICULTURE (CEA) FACILITY FOR PRODUCTION AND DISTRIBUTION TO FOOD INSECURE AREA.",usaspending
Farm Credit Canada,AG_FINTECH,,,,US,,UNKNOWN,https://www.fcc-fac.ca/,,,world_agritech
Farm Wise,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Farm-NG,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Farmblox,UNKNOWN,,,,US,,UNKNOWN,https://www.farmblox.com/,,,world_agritech
Farmdrive,UNKNOWN,,,,United Kingdom,,UNKNOWN,https://farmdrive.io,,"Agriculture, Analytics, B2B Software, Data",growthlist
Farmers' Storehouse,UNKNOWN,,,,United States,,UNKNOWN,https://farmersstorehouse.com,,"Food and Beverage, Agriculture, Community, E-commerce, Manufacturing, Retail",growthlist
Farmevo Technologies,PRECISION_AG,,,,United States,,UNKNOWN,https://farmevo.ai,,"Agriculture, Analytics, Artificial Intelligence, B2B Software, Drones",growthlist
Feitian Ecological Agriculture Technology Ltd  (CIK 0002121907),UNKNOWN,,,,US,,UNKNOWN,,,"SEC Form D filing: ""agriculture technology""",sec_edgar
FieldSim,UNKNOWN,,,,US,,UNKNOWN,https://fieldsim.ai/,,,world_agritech
Flox Intelligence,ROBOTICS,,,,Sweden,,UNKNOWN,https://floxrobotics.com,,"Robotics, Agriculture, Analytics, Artificial Intelligence, B2B Software, Cloud Computing, Data, Environment, Hardware",growthlist
Future Greens,UNKNOWN,,,,United Kingdom,,UNKNOWN,https://futuregreens.uk,,"Agriculture, Environment, Food and Beverage",growthlist
Ganaz,UNKNOWN,Salinas,CA,,US,,UNKNOWN,,,,wgcit
Global Eggs,UNKNOWN,,,,Brazil,,UNKNOWN,https://globaleggs.com,,"Agriculture, Consumer Goods, Food and Beverage, Logistics, Manufacturing",growthlist
GrainCore Dynamics,ROBOTICS,,,,China,,UNKNOWN,https://gcrdynamics.com,,"Agriculture, Artificial Intelligence, B2B Software, Data, Drones, Hardware, Robotics",growthlist
